Animation,https://s3-us-west-2.amazonaws.com/imovie/Toy+Story+(1995).jpg,Toy Story (1995),KYz2wyBy3kc,,https://s3-us-west-2.amazonaws.com/imovie/Toy+Story+-+Official+Trailer+%231+%5B1995%5D-KYz2wyBy3kc.mp4,1
Comedy,https://s3.amazonaws.com/movielily/p3.png,Sabrina (1995),twTksx_lWB4&t=1s,127,https://s3.amazonaws.com/movielily/Sabrina+(1995)+-+Trailer-twTksx_lWB4.mp4,7
Comedy,https://s3.amazonaws.com/movielily/p1.png,Friday (1995),umvFBoLOOgo,163,https://s3.amazonaws.com/movielily/Friday+(1995)+Official+Trailer+-+Ice+Cube%2C+Chris+Tucker+Comedy+HD-umvFBoLOOgo.mp4,69
Music,https://s3.amazonaws.com/joannahsu82/Les+Miserables.png,"Misérables, Les (1995)",nQ10YRA3VKI,,https://s3.amazonaws.com/joannahsu82/Les+Mise%CC%81rables+Official+TRAILER+%233+(2012)+-++Hugh+Jackman%2C+Russell+Crowe+Movie+HD-nQ10YRA3VKI.mp4,73
War,https://s3.amazonaws.com/warmovie/Screen+Shot+2016-11-21+at+2.38.18+PM.png,Braveheart (1995),nMft5QDOHek,,https://s3.amazonaws.com/warmovie/Braveheart+-+Trailer-nMft5QDOHek.mp4,110
Music,https://s3.amazonaws.com/joannahsu82/The+sound+of+music.png,"Sound of Music, The (1965)",UY6uw3WpPzY,,https://s3.amazonaws.com/joannahsu82/The+Sound+of+Music+_+%23TBT+Trailer+_+20th+Century+FOX-UY6uw3WpPzY.mp4,1035
Romantic,https://s3-us-west-1.amazonaws.com/movie-project/titanic.png,Titanic (1997),aXgkYZLW25c,,https://s3-us-west-1.amazonaws.com/movie-project/Titanic+Trailer+(as+a+Romantic+Comedy+movie)-aXgkYZLW25c.mp4,1721
War,https://s3.amazonaws.com/warmovie/Screen+Shot+2016-11-21+at+2.36.24+PM.png,Enemy at the Gates (2001),sMh_DO6I,,https://s3.amazonaws.com/warmovie/Enemy+at+the+Gates+(2001)+Official+Trailer+%231+-+Jude+Law+Movie+HD-4O-sMh_DO6I.mp4,4223
War,https://s3.amazonaws.com/warmovie/Screen+Shot+2016-11-21+at+2.34.06+PM.png,Pearl Harbor (2001),ozksd76CSIs,,https://s3.amazonaws.com/warmovie/Pearl+Harbor+-+Trailerc.mp4,4310
War,https://s3.amazonaws.com/warmovie/Screen+Shot+2016-11-21+at+2.37.29+PM.png,Troy (2004),znTLzRJimeY,,https://s3.amazonaws.com/warmovie/Troy+(2004)+Official+Trailer+-+Brad+Pitt%2C+Eric+Bana%2C+Orlando+Bloom+Movie+HD-znTLzRJimeY.mp4,7458
Action,https://s3.amazonaws.com/actionmovie/Ghost+in+the+Shell+2-+Innocence+(a.k.a.+Innocence)+(Inosensu)+(2004).png,Ghost in the Shell 2: Innocence (a.k.a. Innocence) (Inosensu) (2004),E3fiFEAe8AQ,,https://s3.amazonaws.com/actionmovie/Ghost+in+the+Shell+2+-+Innocence+-+English+Trailer-E3fiFEAe8AQ.mp4,27728
Comedy,https://s3.amazonaws.com/movielily/p4.png,Grandma's Boy (2006),XspFo3jiVR8,169,https://s3.amazonaws.com/movielily/GRANDMA+Movie+Trailer+(Comedy+-+2015)-XspFo3jiVR8.mp4,42725
Music,https://s3.amazonaws.com/joannahsu82/Mamma+Mia.png,Mamma Mia! (2008),lkN-A00WLYE,,https://s3.amazonaws.com/joannahsu82/Mamma+Mia!+-+Official%C2%AE+Trailer+%5BHD%5D-lkN-A00WLYE.mp4,60397
Sad,https://s3-us-west-2.amazonaws.com/sadmovie/up.jpg,Up (2009),F2bk_9T482g,184,https://s3-us-west-2.amazonaws.com/sadmovie/Up-F2bk_9T482g.mp4,68954
Sad,https://s3-us-west-2.amazonaws.com/sadmovie/toy3.jpg,Toy Story 3 (2010),fJ3JIEQtxyU,269,https://s3-us-west-2.amazonaws.com/sadmovie/Toy-Story-3-Bonnie-Memorable-Moments-fJ3JIEQtxyU.mp4,78499
Sad,https://s3-us-west-2.amazonaws.com/sadmovie/no_string.jpg,No Strings Attached (2011),9yVrWNaBqpk,200,https://s3-us-west-2.amazonaws.com/sadmovie/No-Strings-Attached-Sad-Scene-9yVrWNaBqpk.mp4,84374
Horror,https://s3.amazonaws.com/horrormovies/247.jpg,247°F (2011) ,YAZGRX0I3GI,93,https://s3.amazonaws.com/horrormovies/247%C2%B0F+(2011)+-+Official+Trailer+_+HD-YAZGRX0I3GI.mp4,96748
Sad,https://s3-us-west-2.amazonaws.com/sadmovie/wreck-it.jpg,Wreck-It Ralph (2012),USHi4s_rHqQ,261,https://s3-us-west-2.amazonaws.com/sadmovie/Wreck-It-Ralph-You-Really-Are-A-Bad-Guy-Clip-(HD)-USHi4s_rHqQ.mp4,97913
Crime,https://s3.amazonaws.com/crimemovies/The+Sweeney.jpg,"Sweeney, The (2012)",zBbOlQTXV88,,https://s3.amazonaws.com/crimemovies/The+Sweeney+Official+Trailer+%231+(2013)+-+Crime+Movie+HD-zBbOlQTXV88.mp4,99633
Animation,https://s3-us-west-2.amazonaws.com/imovie/Poke%CC%81mon+the+Movie-+White.jpg,Pokémon the Movie: White - Victini and Zekrom (2011),sgpqZq8KG8U,,https://s3-us-west-2.amazonaws.com/imovie/Pokemon+The+Movie+-+White+-+Victini+and+Zekrom+%5BOfficial+Trailer%5D-sgpqZq8KG8U.mp4,99822
Animation,https://s3-us-west-2.amazonaws.com/imovie/Escape+from+Planet+Earth+(2013).jpg,Escape from Planet Earth (2013),_uryI4OLyVw,,https://s3-us-west-2.amazonaws.com/imovie/Escape+From+Planet+Earth+-+2013+-+Trailer+HD-_uryI4OLyVw.mp4,100611
Animation,https://s3-us-west-2.amazonaws.com/imovie/Starship+Troopers-+Invasion+(2012).jpg,Starship Troopers: Invasion (2012),MBc5Vp3niq8,,https://s3-us-west-2.amazonaws.com/imovie/Starship+Troopers+-+Invasion+-+Trailer-MBc5Vp3niq8.mp4,100729
Action,https://s3.amazonaws.com/actionmovie/Olympus+Has+Fallen.png,Olympus Has Fallen (2013),vwx1f0kyNwI,,https://s3.amazonaws.com/actionmovie/Olympus+Has+Fallen+-+Official+Trailer+(HD)-vwx1f0kyNwI.mp4,101362
Comedy,https://s3.amazonaws.com/movielily/p2.png,Mom's Night Out (2014),1tH2y1KzzC0,145,https://s3.amazonaws.com/movielily/MOM%27S+NIGHT+OUT+Trailer+(Comedy+-+2014)-1tH2y1KzzC0.mp4 ,111320
Crime,https://s3.amazonaws.com/crimemovies/Rob+The+Mob.jpg,Rob the Mob (2014),C9KVxlC_ITc,,https://s3.amazonaws.com/crimemovies/Rob+The+Mob+Official+Trailer+%231+(2014)+-+Crime+Movie+HD-C9KVxlC_ITc.mp4,113364
Crime,https://s3.amazonaws.com/crimemovies/Life+of+Crime.jpg,Life of Crime (2013),M29yK7WWeKY,,https://s3.amazonaws.com/crimemovies/Life+of+Crime+Official+Trailer+%231+(2014)+-+Isla+Fisher%2C+Jennifer+Aniston+Crime+Comedy+HD-M29yK7WWeKY.mp4,113775
Action,https://s3.amazonaws.com/actionmovie/Free+Fall(2014).png,Free Fall (2013),SGDBWgOl-dA,,https://s3.amazonaws.com/actionmovie/Free+Fall+Official+Trailer+1+(2014)+-+Sarah+Butler+Action+Thriller+HD-SGDBWgOl-dA.mp4,116660
